"Pipeline_ID","Stage","Time","Vulnerabilities","Severity","Status"
53,"Security Testing",7,2,"Low","Completed"
54,"Code Commit",5,4,"High","Completed"
55,"Static Analysis",10,0,"Low","Completed"
56,"Build",10,5,"Low","Completed"
57,"Build",5,2,"Low","Completed"
58,"Unit Testing",6,0,"Low","Completed"
59,"Deployment",10,4,"Medium","Completed"
60,"Build",4,3,"Low","Completed"
61,"Static Analysis",4,3,"Low","Completed"
62,"Code Commit",3,0,"Low","Completed"
63,"Code Commit",8,4,"Low","Completed"
64,"Dependency Scan",2,0,"High","Completed"
65,"Code Commit",4,2,"Low","Completed"
66,"Security Testing",8,2,"Low","Completed"
67,"Build",3,3,"Low","Completed"
68,"Deployment",10,3,"Low","Completed"
69,"Code Commit",6,2,"Low","Completed"
70,"Deployment",2,2,"Medium","Completed"
71,"Static Analysis",10,1,"Low","Completed"
72,"Unit Testing",10,2,"Low","Completed"
73,"Deployment",8,4,"Low","Completed"
74,"Unit Testing",3,0,"Low","Completed"
75,"Security Testing",9,5,"Low","Completed"
76,"Security Testing",8,4,"High","Completed"
77,"Dependency Scan",7,2,"Medium","Completed"
78,"Security Testing",8,1,"Low","Completed"
79,"Security Testing",3,4,"Medium","Completed"
80,"Deployment",3,2,"Low","Completed"
81,"Deployment",6,4,"Medium","Completed"
82,"Code Commit",8,0,"Medium","Completed"
83,"Security Testing",10,3,"Medium","Completed"
84,"Static Analysis",8,3,"Low","Completed"
85,"Code Commit",7,2,"Low","Completed"
86,"Static Analysis",5,1,"Low","Completed"
87,"Unit Testing",4,3,"Low","Completed"
88,"Build",4,0,"Medium","Completed"
89,"Build",3,3,"Medium","Completed"
90,"Security Testing",4,2,"Medium","Completed"
91,"Deployment",2,1,"Low","Completed"
92,"Dependency Scan",2,3,"Medium","Completed"
93,"Code Commit",2,4,"Low","Completed"
94,"Unit Testing",5,1,"Low","Completed"
95,"Security Testing",4,2,"Low","Completed"
96,"Code Commit",3,5,"Medium","Completed"
97,"Security Testing",8,2,"Medium","Completed"
98,"Code Commit",3,4,"Medium","Completed"
99,"Deployment",3,4,"Low","Completed"
100,"Dependency Scan",8,3,"Low","Completed"
101,"Security Testing",5,5,"Medium","Completed"
102,"Unit Testing",5,1,"Medium","Completed"
103,"Deployment",9,0,"Low","Completed"
104,"Code Commit",10,0,"Low","Completed"
105,"Security Testing",4,4,"Low","Completed"
106,"Security Testing",10,3,"Low","Completed"
107,"Dependency Scan",4,3,"Low","Completed"
108,"Security Testing",7,3,"Low","Failed"
109,"Build",6,0,"Medium","Completed"
110,"Deployment",3,0,"Low","Completed"
111,"Dependency Scan",7,5,"Low","Completed"
112,"Deployment",2,1,"Medium","Completed"
113,"Security Testing",6,2,"Medium","Completed"
114,"Static Analysis",4,0,"High","Completed"
115,"Deployment",4,3,"Low","Completed"
116,"Build",4,3,"Medium","Completed"
117,"Build",7,1,"Low","Completed"
118,"Dependency Scan",10,2,"Low","Completed"
119,"Static Analysis",4,0,"Low","Completed"
120,"Static Analysis",3,2,"Medium","Completed"
121,"Static Analysis",6,2,"Medium","Completed"
122,"Unit Testing",6,0,"Low","Completed"
123,"Static Analysis",8,3,"High","Completed"
124,"Static Analysis",3,2,"High","Completed"
125,"Security Testing",9,0,"Low","Completed"
126,"Deployment",8,3,"Low","Failed"
127,"Unit Testing",8,3,"Low","Completed"
128,"Unit Testing",9,0,"Low","Completed"
129,"Security Testing",6,4,"Medium","Completed"
130,"Code Commit",3,2,"Medium","Completed"
131,"Security Testing",4,0,"Medium","Completed"
132,"Security Testing",10,5,"Medium","Completed"
133,"Security Testing",4,4,"Low","Completed"
134,"Dependency Scan",4,0,"Low","Completed"
135,"Security Testing",6,0,"Medium","Completed"
136,"Dependency Scan",8,3,"Low","Completed"
137,"Security Testing",9,2,"Low","Completed"
138,"Deployment",5,3,"Medium","Completed"
139,"Code Commit",4,5,"Low","Completed"
140,"Deployment",8,3,"Low","Completed"
141,"Dependency Scan",9,4,"Medium","Completed"
142,"Deployment",2,5,"Low","Completed"
143,"Build",8,5,"Low","Completed"
144,"Deployment",10,2,"Medium","Completed"
145,"Deployment",4,1,"Medium","Completed"
146,"Static Analysis",7,2,"Medium","Completed"
147,"Security Testing",5,4,"Low","Completed"
148,"Security Testing",10,3,"High","Completed"
149,"Deployment",6,3,"High","Completed"
150,"Deployment",10,2,"Low","Completed"
151,"Dependency Scan",10,4,"Medium","Completed"
152,"Static Analysis",6,3,"Low","Completed"
153,"Build",7,1,"Low","Completed"
154,"Security Testing",7,3,"Low","Completed"
155,"Build",7,0,"Medium","Completed"
156,"Deployment",9,1,"Low","Completed"
157,"Dependency Scan",5,0,"Low","Completed"
158,"Unit Testing",9,0,"Medium","Completed"
159,"Unit Testing",8,4,"Low","Completed"
160,"Security Testing",8,4,"Low","Failed"
161,"Unit Testing",6,2,"High","Completed"
162,"Build",9,4,"Medium","Completed"
163,"Dependency Scan",2,5,"Low","Completed"
164,"Code Commit",8,4,"Low","Completed"
165,"Deployment",8,2,"Medium","Completed"
166,"Security Testing",6,4,"Medium","Completed"
167,"Static Analysis",2,5,"Low","Completed"
168,"Code Commit",8,0,"Low","Completed"
169,"Deployment",8,5,"Low","Completed"
170,"Static Analysis",4,1,"Low","Completed"
171,"Build",4,3,"Low","Completed"
172,"Dependency Scan",10,2,"Low","Completed"
173,"Unit Testing",2,5,"Low","Completed"
174,"Deployment",10,4,"Low","Completed"
175,"Deployment",8,2,"High","Completed"
176,"Unit Testing",7,4,"Medium","Completed"
177,"Code Commit",2,2,"Low","Completed"
178,"Security Testing",9,3,"Medium","Completed"
179,"Security Testing",6,0,"Medium","Completed"
180,"Unit Testing",10,1,"Low","Completed"
181,"Code Commit",6,3,"Low","Completed"
182,"Security Testing",4,1,"Low","Completed"
183,"Dependency Scan",2,3,"Low","Failed"
184,"Unit Testing",7,3,"Low","Completed"
185,"Dependency Scan",5,1,"Low","Completed"
186,"Build",9,5,"Low","Completed"
187,"Unit Testing",10,5,"High","Completed"
188,"Unit Testing",10,2,"Medium","Completed"
189,"Unit Testing",9,3,"Medium","Completed"
190,"Security Testing",8,1,"Medium","Completed"
191,"Code Commit",5,5,"Medium","Completed"
192,"Static Analysis",9,3,"Medium","Completed"
193,"Dependency Scan",6,2,"Medium","Completed"
194,"Unit Testing",2,5,"Medium","Completed"
195,"Dependency Scan",2,4,"Low","Completed"
196,"Code Commit",6,1,"Low","Completed"
197,"Deployment",4,5,"Medium","Completed"
198,"Security Testing",5,5,"Low","Completed"
199,"Build",4,3,"Low","Completed"
200,"Build",3,0,"Low","Completed"
201,"Static Analysis",4,3,"Low","Completed"
202,"Dependency Scan",6,4,"Low","Completed"
203,"Build",9,3,"Low","Completed"
204,"Security Testing",2,2,"Low","Completed"
205,"Security Testing",6,0,"Low","Completed"
206,"Code Commit",4,1,"High","Completed"
207,"Unit Testing",7,4,"Low","Completed"
208,"Static Analysis",3,4,"Low","Completed"
209,"Unit Testing",2,4,"Low","Completed"
210,"Build",8,4,"Low","Completed"
211,"Build",2,5,"Low","Completed"
212,"Security Testing",9,3,"Medium","Completed"
213,"Build",4,5,"Low","Completed"
214,"Deployment",3,2,"Low","Failed"
215,"Build",4,3,"Medium","Completed"
216,"Code Commit",6,2,"Low","Completed"
217,"Static Analysis",9,5,"Low","Completed"
218,"Code Commit",2,0,"Low","Completed"
219,"Static Analysis",3,3,"Medium","Completed"
220,"Build",5,3,"Medium","Completed"
221,"Build",8,3,"Low","Completed"
222,"Code Commit",6,5,"Low","Completed"
223,"Deployment",5,3,"Low","Completed"
224,"Deployment",9,2,"Low","Completed"
225,"Static Analysis",2,5,"Low","Completed"
226,"Build",6,5,"Medium","Completed"
227,"Unit Testing",8,1,"Low","Completed"
228,"Static Analysis",7,1,"Low","Completed"
229,"Deployment",2,5,"Low","Failed"
230,"Security Testing",8,2,"Low","Completed"
231,"Deployment",3,5,"Medium","Completed"
232,"Static Analysis",6,2,"Medium","Completed"
233,"Dependency Scan",4,4,"Medium","Completed"
234,"Code Commit",3,0,"Low","Completed"
235,"Code Commit",7,5,"Low","Completed"
236,"Build",3,0,"Medium","Completed"
237,"Build",4,3,"Low","Completed"
238,"Dependency Scan",4,2,"Low","Completed"
239,"Static Analysis",5,1,"Low","Completed"
240,"Build",10,3,"Low","Completed"
241,"Security Testing",6,4,"Medium","Completed"
242,"Build",3,1,"Low","Completed"
243,"Dependency Scan",10,1,"Low","Completed"
244,"Dependency Scan",2,2,"Medium","Completed"
245,"Code Commit",8,1,"Low","Completed"
246,"Unit Testing",2,2,"Medium","Completed"
247,"Static Analysis",7,5,"Low","Completed"
248,"Deployment",2,5,"Low","Completed"
249,"Code Commit",7,3,"Low","Completed"
250,"Deployment",9,3,"Medium","Completed"
251,"Static Analysis",3,0,"Medium","Completed"
252,"Unit Testing",6,3,"Low","Completed"
253,"Build",3,4,"Medium","Completed"
254,"Code Commit",6,3,"Medium","Completed"
255,"Code Commit",4,1,"Medium","Completed"
256,"Code Commit",7,5,"High","Failed"
257,"Build",7,2,"Low","Completed"
258,"Deployment",10,5,"Low","Completed"
259,"Security Testing",7,3,"Low","Completed"
260,"Security Testing",5,3,"Low","Completed"
261,"Security Testing",3,3,"Medium","Completed"
262,"Dependency Scan",8,1,"Medium","Completed"
263,"Code Commit",10,1,"Low","Completed"
264,"Static Analysis",5,5,"Low","Completed"
265,"Static Analysis",2,1,"Low","Completed"
266,"Code Commit",9,1,"Low","Completed"
267,"Static Analysis",4,2,"Medium","Completed"
268,"Code Commit",10,0,"Medium","Completed"
269,"Build",7,4,"Low","Completed"
270,"Static Analysis",4,4,"Low","Completed"
271,"Dependency Scan",4,0,"Medium","Completed"
272,"Build",5,4,"Low","Completed"
273,"Deployment",7,0,"Low","Completed"
274,"Unit Testing",3,0,"Medium","Completed"
275,"Build",8,4,"Low","Completed"
276,"Static Analysis",7,5,"Low","Completed"
277,"Code Commit",8,3,"Low","Completed"
278,"Unit Testing",5,5,"Low","Completed"
279,"Security Testing",8,5,"Medium","Completed"
280,"Static Analysis",5,1,"Medium","Completed"
281,"Security Testing",10,3,"Low","Completed"
282,"Deployment",6,0,"Low","Completed"
283,"Build",10,2,"Low","Completed"
284,"Code Commit",10,2,"Low","Completed"
285,"Build",4,2,"Low","Completed"
286,"Code Commit",2,1,"Low","Completed"
287,"Unit Testing",10,3,"Low","Completed"
288,"Dependency Scan",10,2,"Medium","Completed"
289,"Code Commit",4,5,"Low","Completed"
290,"Security Testing",5,0,"High","Completed"
291,"Code Commit",8,4,"Medium","Completed"
292,"Static Analysis",10,5,"Medium","Completed"
293,"Unit Testing",9,5,"Low","Failed"
294,"Static Analysis",4,1,"High","Completed"
295,"Code Commit",7,4,"Medium","Completed"
296,"Build",2,4,"Low","Completed"
297,"Build",10,2,"Medium","Completed"
298,"Code Commit",10,4,"High","Failed"
299,"Deployment",8,3,"Medium","Completed"
300,"Code Commit",9,4,"Medium","Failed"
301,"Build",2,2,"Medium","Completed"
302,"Build",9,5,"Low","Completed"
303,"Static Analysis",3,4,"Low","Completed"
304,"Static Analysis",9,3,"Low","Completed"
305,"Deployment",7,1,"Low","Completed"
306,"Security Testing",10,5,"High","Completed"
307,"Deployment",3,0,"High","Completed"
308,"Build",8,5,"Medium","Completed"
309,"Code Commit",8,4,"Low","Completed"
310,"Code Commit",10,4,"Low","Completed"
311,"Build",4,2,"Medium","Completed"
312,"Build",4,3,"Medium","Failed"
313,"Unit Testing",6,0,"Low","Completed"
314,"Deployment",3,1,"Low","Completed"
315,"Build",5,5,"Medium","Completed"
316,"Build",2,2,"Medium","Completed"
317,"Deployment",6,1,"Low","Completed"
318,"Deployment",9,2,"Low","Completed"
319,"Unit Testing",6,3,"Low","Completed"
320,"Static Analysis",7,1,"Low","Completed"
321,"Build",10,2,"Low","Completed"
322,"Code Commit",4,3,"Low","Completed"
323,"Code Commit",2,1,"Low","Completed"
324,"Static Analysis",10,3,"Medium","Completed"
325,"Code Commit",3,5,"Low","Completed"
326,"Static Analysis",2,1,"Low","Completed"
327,"Build",9,4,"Low","Completed"
328,"Code Commit",10,0,"Low","Completed"
329,"Deployment",3,2,"Medium","Failed"
330,"Dependency Scan",4,2,"Medium","Completed"
331,"Static Analysis",7,3,"Low","Completed"
332,"Static Analysis",2,4,"Low","Completed"
333,"Build",8,3,"Medium","Completed"
334,"Deployment",3,1,"Low","Completed"
335,"Unit Testing",6,3,"High","Completed"
336,"Code Commit",4,5,"Medium","Completed"
337,"Build",8,3,"High","Completed"
338,"Static Analysis",3,1,"Medium","Completed"
339,"Build",9,4,"Low","Completed"
340,"Security Testing",4,1,"Low","Completed"
341,"Static Analysis",5,3,"Low","Completed"
342,"Static Analysis",4,5,"Medium","Completed"
343,"Security Testing",4,4,"Low","Completed"
344,"Unit Testing",3,1,"Low","Completed"
345,"Dependency Scan",5,2,"Medium","Completed"
346,"Unit Testing",5,0,"Medium","Completed"
347,"Dependency Scan",7,1,"Medium","Completed"
348,"Dependency Scan",7,1,"Low","Completed"
349,"Dependency Scan",4,4,"Low","Completed"
350,"Build",10,0,"Medium","Completed"
351,"Deployment",6,1,"Low","Completed"
352,"Dependency Scan",6,2,"Medium","Completed"
353,"Deployment",9,3,"Low","Completed"
354,"Static Analysis",6,1,"Low","Completed"
355,"Deployment",6,1,"Medium","Completed"
356,"Deployment",4,0,"Low","Completed"
357,"Dependency Scan",8,0,"Medium","Completed"
358,"Code Commit",2,2,"Medium","Completed"
359,"Build",3,3,"Medium","Completed"
360,"Deployment",2,3,"Low","Completed"
361,"Security Testing",9,5,"Low","Completed"
362,"Deployment",2,3,"Medium","Completed"
363,"Security Testing",3,0,"Low","Completed"
364,"Code Commit",3,3,"Low","Completed"
365,"Unit Testing",7,0,"Low","Completed"
366,"Static Analysis",4,0,"Medium","Completed"
367,"Security Testing",9,5,"Medium","Completed"
368,"Static Analysis",2,5,"Low","Completed"
369,"Unit Testing",7,2,"Medium","Completed"
370,"Code Commit",9,1,"Medium","Completed"
371,"Unit Testing",2,0,"Medium","Completed"
372,"Build",5,0,"High","Completed"
373,"Build",9,1,"Low","Failed"
374,"Dependency Scan",4,4,"Low","Completed"
375,"Deployment",2,0,"High","Completed"
376,"Build",7,4,"Medium","Completed"
377,"Build",4,4,"Low","Completed"
378,"Dependency Scan",6,4,"Low","Completed"
379,"Code Commit",2,4,"High","Completed"
380,"Dependency Scan",7,2,"Low","Completed"
381,"Unit Testing",6,0,"Medium","Failed"
382,"Static Analysis",2,1,"Low","Completed"
383,"Build",9,2,"Medium","Completed"
384,"Code Commit",10,3,"Medium","Completed"
385,"Deployment",6,5,"Medium","Completed"
386,"Unit Testing",6,3,"Low","Completed"
387,"Security Testing",9,1,"Low","Completed"
388,"Dependency Scan",5,0,"Low","Completed"
389,"Security Testing",5,1,"Low","Completed"
390,"Code Commit",5,0,"Medium","Completed"
391,"Static Analysis",6,0,"Low","Completed"
392,"Deployment",5,2,"Medium","Completed"
393,"Security Testing",7,3,"Low","Completed"
394,"Dependency Scan",5,5,"Low","Completed"
395,"Dependency Scan",2,5,"Medium","Failed"
396,"Code Commit",9,0,"Low","Completed"
397,"Static Analysis",6,0,"Low","Completed"
398,"Code Commit",6,2,"Low","Completed"
399,"Security Testing",4,2,"Low","Failed"
400,"Static Analysis",2,0,"Medium","Completed"
401,"Static Analysis",3,1,"Low","Completed"
402,"Static Analysis",4,3,"Low","Completed"
403,"Build",5,4,"Low","Completed"
404,"Unit Testing",5,5,"Low","Completed"
405,"Security Testing",5,3,"Low","Completed"
406,"Unit Testing",2,4,"Medium","Completed"
407,"Build",10,3,"Low","Completed"
408,"Unit Testing",2,5,"High","Completed"
409,"Security Testing",6,1,"Medium","Completed"
410,"Code Commit",5,4,"Medium","Completed"
411,"Deployment",2,1,"Low","Completed"
412,"Static Analysis",8,5,"Low","Completed"
413,"Code Commit",10,5,"Low","Completed"
414,"Deployment",6,0,"Low","Completed"
415,"Static Analysis",10,5,"Low","Completed"
416,"Dependency Scan",7,4,"Low","Completed"
417,"Static Analysis",10,2,"Low","Completed"
418,"Deployment",4,2,"Medium","Completed"
419,"Dependency Scan",10,1,"Low","Completed"
420,"Code Commit",2,5,"Low","Completed"
421,"Unit Testing",4,3,"Low","Completed"
422,"Static Analysis",7,3,"Low","Completed"
423,"Dependency Scan",3,3,"Low","Completed"
424,"Build",2,0,"Medium","Completed"
425,"Build",6,1,"Medium","Completed"
426,"Deployment",2,3,"Low","Completed"
427,"Security Testing",7,1,"Low","Completed"
428,"Dependency Scan",7,1,"Medium","Completed"
429,"Security Testing",9,4,"Low","Completed"
430,"Security Testing",2,2,"Medium","Completed"
431,"Static Analysis",7,1,"Medium","Failed"
432,"Build",2,3,"High","Completed"
433,"Unit Testing",7,3,"Medium","Failed"
434,"Static Analysis",7,4,"Low","Completed"
435,"Code Commit",6,4,"Medium","Completed"
436,"Unit Testing",10,5,"Low","Completed"
437,"Code Commit",4,1,"Low","Completed"
438,"Unit Testing",10,0,"Low","Completed"
439,"Build",6,4,"Low","Completed"
440,"Unit Testing",8,2,"Low","Completed"
441,"Static Analysis",3,4,"Low","Completed"
442,"Static Analysis",7,5,"Medium","Completed"
443,"Unit Testing",8,2,"Medium","Completed"
444,"Deployment",10,1,"Low","Completed"
445,"Dependency Scan",4,2,"Medium","Completed"
446,"Build",10,0,"Low","Completed"
447,"Security Testing",7,3,"High","Completed"
448,"Static Analysis",7,1,"Medium","Completed"
449,"Deployment",9,2,"Low","Completed"
450,"Dependency Scan",5,3,"Low","Completed"
451,"Dependency Scan",7,5,"Low","Completed"
452,"Dependency Scan",2,5,"Medium","Completed"
453,"Security Testing",5,1,"Low","Completed"
454,"Code Commit",7,3,"High","Completed"
455,"Code Commit",8,0,"High","Completed"
456,"Dependency Scan",8,4,"Low","Completed"
457,"Unit Testing",6,5,"Low","Completed"
458,"Unit Testing",2,1,"Medium","Failed"
459,"Build",4,5,"Medium","Completed"
460,"Static Analysis",9,3,"High","Completed"
461,"Static Analysis",2,1,"Low","Completed"
462,"Unit Testing",9,1,"Medium","Completed"
463,"Deployment",8,0,"Low","Failed"
464,"Static Analysis",4,0,"Low","Completed"
465,"Code Commit",2,2,"Low","Completed"
466,"Unit Testing",9,3,"Medium","Completed"
467,"Dependency Scan",9,2,"Low","Completed"
468,"Code Commit",8,1,"Medium","Completed"
469,"Build",10,5,"High","Completed"
470,"Dependency Scan",2,3,"Low","Completed"
471,"Unit Testing",9,2,"Medium","Completed"
472,"Static Analysis",2,0,"Medium","Completed"
473,"Build",7,2,"Medium","Completed"
474,"Build",3,5,"Medium","Completed"
475,"Static Analysis",6,3,"Medium","Completed"
476,"Security Testing",4,0,"Medium","Completed"
477,"Static Analysis",5,2,"High","Completed"
478,"Static Analysis",9,1,"Low","Completed"
479,"Code Commit",7,1,"Medium","Completed"
480,"Dependency Scan",10,3,"Low","Completed"
481,"Deployment",6,4,"Low","Completed"
482,"Security Testing",2,4,"Low","Completed"
483,"Unit Testing",2,5,"Low","Completed"
484,"Dependency Scan",3,4,"Low","Completed"
485,"Dependency Scan",10,4,"Low","Completed"
486,"Dependency Scan",2,3,"Medium","Completed"
487,"Security Testing",3,3,"Low","Completed"
488,"Deployment",10,4,"Low","Completed"
489,"Unit Testing",2,3,"High","Completed"
490,"Unit Testing",3,0,"High","Completed"
491,"Dependency Scan",5,0,"Low","Completed"
492,"Security Testing",9,1,"Medium","Completed"
493,"Security Testing",9,3,"Medium","Completed"
494,"Unit Testing",6,5,"Medium","Completed"
495,"Deployment",10,1,"Medium","Completed"
496,"Static Analysis",2,3,"Medium","Completed"
497,"Dependency Scan",5,5,"Low","Completed"
498,"Security Testing",8,4,"Low","Completed"
499,"Unit Testing",7,4,"Low","Completed"
500,"Static Analysis",3,2,"Low","Failed"
501,"Code Commit",8,1,"Medium","Completed"
502,"Security Testing",4,1,"Medium","Completed"
503,"Dependency Scan",3,4,"Low","Completed"
504,"Unit Testing",2,0,"Low","Completed"
505,"Code Commit",7,1,"Low","Completed"
506,"Code Commit",7,1,"Low","Completed"
507,"Unit Testing",5,2,"Medium","Completed"
508,"Deployment",6,0,"Low","Completed"
509,"Unit Testing",6,5,"Medium","Completed"
510,"Security Testing",9,4,"Medium","Completed"
511,"Build",7,1,"Low","Completed"
512,"Code Commit",8,4,"Low","Completed"
513,"Deployment",4,1,"Low","Completed"
514,"Deployment",2,5,"Low","Completed"
515,"Unit Testing",3,3,"Medium","Completed"
516,"Deployment",6,2,"Low","Completed"
517,"Build",6,4,"High","Completed"
518,"Security Testing",8,3,"Low","Completed"
519,"Security Testing",2,1,"High","Completed"
520,"Deployment",2,0,"Low","Completed"
521,"Deployment",3,5,"Medium","Completed"
522,"Dependency Scan",3,5,"Low","Completed"
523,"Deployment",6,5,"Low","Completed"
524,"Static Analysis",2,2,"Low","Failed"
525,"Build",4,3,"Low","Completed"
526,"Deployment",10,1,"Low","Completed"
527,"Unit Testing",4,2,"Low","Completed"
528,"Unit Testing",3,4,"Low","Completed"
529,"Security Testing",2,0,"Low","Completed"
530,"Code Commit",10,3,"Low","Completed"
531,"Dependency Scan",4,1,"Medium","Completed"
532,"Dependency Scan",3,5,"Low","Completed"
533,"Dependency Scan",10,2,"Medium","Completed"
534,"Security Testing",7,1,"Low","Completed"
535,"Build",7,1,"Low","Completed"
536,"Static Analysis",9,0,"Low","Completed"
537,"Deployment",5,1,"Low","Completed"
538,"Build",3,5,"High","Completed"
539,"Static Analysis",2,4,"Low","Completed"
540,"Code Commit",3,5,"Medium","Completed"
541,"Security Testing",8,5,"Low","Completed"
542,"Security Testing",8,2,"Low","Completed"
543,"Unit Testing",5,4,"Low","Completed"
544,"Deployment",6,0,"Low","Completed"
545,"Security Testing",2,0,"Low","Completed"
546,"Security Testing",10,1,"Medium","Completed"
547,"Security Testing",8,5,"Low","Completed"
548,"Static Analysis",6,5,"Low","Completed"
549,"Static Analysis",8,5,"High","Completed"
550,"Dependency Scan",6,4,"Low","Completed"
551,"Build",3,3,"Low","Completed"
552,"Code Commit",9,1,"Low","Completed"
553,"Deployment",8,3,"Low","Completed"
554,"Dependency Scan",9,3,"Low","Completed"
555,"Deployment",10,3,"Low","Completed"
556,"Dependency Scan",4,0,"Low","Completed"
557,"Static Analysis",7,2,"Low","Completed"
558,"Build",8,1,"Low","Completed"
559,"Code Commit",4,3,"Medium","Completed"
560,"Deployment",9,0,"Medium","Completed"
561,"Security Testing",2,2,"Low","Completed"
562,"Unit Testing",10,1,"Medium","Completed"
563,"Security Testing",7,5,"Low","Completed"
564,"Deployment",10,4,"Low","Completed"
565,"Unit Testing",4,1,"Low","Completed"
566,"Code Commit",4,1,"Low","Completed"
567,"Dependency Scan",7,4,"Low","Completed"
568,"Unit Testing",10,3,"Medium","Completed"
569,"Deployment",10,4,"Low","Completed"
570,"Unit Testing",4,2,"Medium","Completed"
571,"Code Commit",6,3,"High","Completed"
572,"Build",8,4,"Low","Completed"
573,"Dependency Scan",3,2,"Low","Completed"
574,"Deployment",7,2,"Medium","Completed"
575,"Unit Testing",9,1,"Low","Completed"
576,"Static Analysis",6,3,"Low","Completed"
577,"Security Testing",4,1,"Low","Completed"
578,"Deployment",6,3,"Low","Completed"
579,"Security Testing",5,0,"Low","Completed"
580,"Deployment",5,2,"Medium","Completed"
581,"Dependency Scan",8,1,"Medium","Completed"
582,"Static Analysis",2,2,"Low","Failed"
583,"Dependency Scan",3,3,"Low","Completed"
584,"Dependency Scan",6,3,"Medium","Completed"
585,"Code Commit",4,1,"High","Completed"
586,"Deployment",8,5,"Low","Completed"
587,"Build",9,5,"Low","Completed"
588,"Security Testing",6,4,"Medium","Completed"
589,"Unit Testing",8,1,"Low","Completed"
590,"Unit Testing",4,3,"Low","Completed"
591,"Build",7,4,"Low","Completed"
592,"Deployment",9,5,"Low","Completed"
593,"Dependency Scan",7,2,"High","Completed"
594,"Static Analysis",9,1,"Medium","Completed"
595,"Unit Testing",7,4,"Medium","Completed"
596,"Security Testing",4,4,"Low","Completed"
597,"Build",8,2,"Low","Completed"
598,"Static Analysis",2,0,"Low","Completed"
599,"Deployment",7,4,"Low","Completed"
600,"Dependency Scan",6,3,"Low","Completed"
601,"Dependency Scan",3,5,"Low","Completed"
602,"Security Testing",8,2,"Low","Completed"
603,"Code Commit",4,2,"Low","Completed"
604,"Security Testing",4,4,"Low","Completed"
605,"Dependency Scan",5,1,"Medium","Completed"
606,"Static Analysis",2,5,"Low","Completed"
607,"Dependency Scan",7,0,"Low","Completed"
608,"Dependency Scan",6,5,"Low","Completed"
609,"Code Commit",3,4,"Low","Failed"
610,"Security Testing",8,2,"Low","Completed"
611,"Static Analysis",2,4,"Medium","Completed"
612,"Static Analysis",6,2,"High","Completed"
613,"Static Analysis",6,2,"High","Completed"
614,"Unit Testing",9,1,"Low","Failed"
615,"Security Testing",4,5,"Low","Completed"
616,"Code Commit",2,3,"Low","Completed"
617,"Build",5,5,"Low","Completed"
618,"Deployment",9,0,"Medium","Completed"
619,"Build",3,5,"Medium","Completed"
620,"Dependency Scan",5,1,"Low","Completed"
621,"Deployment",9,3,"Low","Completed"
622,"Security Testing",9,3,"Low","Completed"
623,"Dependency Scan",6,1,"Medium","Completed"
624,"Security Testing",7,2,"High","Completed"
625,"Build",8,3,"High","Failed"
626,"Code Commit",10,4,"High","Completed"
627,"Unit Testing",8,2,"Low","Completed"
