"Job_ID","Pipeline_ID","Scan_Type","Severity","Vulnerability_Count","Arrival_Time_Min","Service_Time_Min","Risk_Score","Developer_Experience","Code_Change_Size","Severity_Score","Vulnerability_Normalized","Risk_Normalized","Waiting_Factor","GatekeeperX_Priority_Score","Priority_Class","Security_Decision","Queue_Position"
55,"PL-0118","SAST","Medium",7,112.46,2.95,62.59,"Intermediate","Large",50,43.75,62.59,4.48251397048859,47.35,"P3 - Medium","PASS WITH MONITORING",481
56,"PL-0130","DAST","Medium",3,114.05,5.69,39.12,"Senior","Small",50,18.75,39.12,4.54588936807953,36.48,"P4 - Low","PASS",739
57,"PL-0082","SAST","Critical",16,114.55,5.02,100,"Junior","Small",100,100,100,4.56581873839114,90.46,"P1 - Critical","BLOCK",16
58,"PL-0110","SAST","Medium",2,114.63,3.78,54.56,"Junior","Small",50,12.5,54.56,4.569007437641,39.1,"P4 - Low","PASS WITH MONITORING",698
59,"PL-0296","SAST","Low",3,114.72,3.7,24.27,"Intermediate","Small",25,18.75,24.27,4.57259472429709,21.52,"P4 - Low","PASS",934
60,"PL-0149","DAST","High",6,117.08,7.06,82.23,"Junior","Medium",75,37.5,82.23,4.66666135216792,62.27,"P2 - High","WAIT / PRIORITIZE",289
61,"PL-0057","SCA","Medium",6,119.43,3.67,47.99,"Senior","Medium",50,37.5,47.99,4.76032939263251,42.47,"P3 - Medium","PASS WITH MONITORING",623
62,"PL-0100","SCA","Low",2,124.61,3.49,21.27,"Intermediate","Medium",25,12.5,21.27,4.96679766906085,19.56,"P4 - Low","PASS",971
63,"PL-0298","Container","Low",2,127.62,3.4,22.19,"Intermediate","Small",25,12.5,22.19,5.08677247833677,19.81,"P4 - Low","PASS",968
64,"PL-0091","SAST","Medium",6,130.61,4.6,61.36,"Junior","Small",50,37.5,61.36,5.20595011280024,45.86,"P3 - Medium","PASS WITH MONITORING",520
65,"PL-0269","SAST","Medium",2,130.67,4.18,49.82,"Senior","Small",50,12.5,49.82,5.20834163723763,37.98,"P4 - Low","PASS WITH MONITORING",722
66,"PL-0181","Container","Low",5,132.64,5.94,31.57,"Senior","Medium",25,31.25,31.57,5.2868633562654,25.92,"P4 - Low","PASS",832
67,"PL-0054","DAST","Low",2,134.29,5.86,18.01,"Intermediate","Small",25,12.5,18.01,5.35263027829373,18.79,"P4 - Low","PASS",986
68,"PL-0288","SCA","Low",4,134.51,1.98,21.52,"Junior","Medium",25,25,21.52,5.36139920123084,22.17,"P4 - Low","PASS",922
69,"PL-0208","DAST","High",6,138.67,6.24,72.82,"Intermediate","Medium",75,37.5,72.82,5.52721156222348,60.01,"P2 - High","WAIT / PRIORITIZE",321
70,"PL-0246","DAST","Medium",2,142.47,3.92,54.14,"Senior","Small",50,12.5,54.14,5.67867477659176,39.1,"P4 - Low","PASS WITH MONITORING",699
71,"PL-0060","DAST","Medium",4,143.88,5.57,51.51,"Intermediate","Large",50,25,51.51,5.73487560087051,40.95,"P3 - Medium","PASS WITH MONITORING",657
72,"PL-0285","SCA","High",11,145.68,4.56,87.93,"Intermediate","Large",75,68.75,87.93,5.80662133399233,70.06,"P2 - High","WAIT / PRIORITIZE",158
73,"PL-0108","SAST","Critical",8,147.65,5.34,100,"Junior","Small",100,50,100,5.8851430530201,80.59,"P1 - Critical","BLOCK",98
74,"PL-0126","IaC","Medium",4,148.14,4.09,44.75,"Intermediate","Medium",50,25,44.75,5.90467383592548,39.28,"P4 - Low","PASS WITH MONITORING",693
75,"PL-0112","SCA","High",10,148.34,3.76,88.53,"Junior","Large",75,62.5,88.53,5.91264558405013,68.97,"P2 - High","WAIT / PRIORITIZE",181
76,"PL-0072","SCA","Low",1,149,3.22,25.4,"Intermediate","Large",25,6.25,25.4,5.93895235286146,19.44,"P4 - Low","PASS",975
77,"PL-0285","DAST","High",10,150.37,7.96,88.34,"Junior","Medium",75,62.5,88.34,5.99355882751529,68.93,"P2 - High","WAIT / PRIORITIZE",182
78,"PL-0001","Container","Medium",8,150.4,5.46,58.65,"Intermediate","Small",50,50,58.65,5.99475458973398,47.76,"P3 - Medium","PASS WITH MONITORING",473
79,"PL-0141","Container","Medium",6,156.97,5.54,58.4,"Junior","Large",50,37.5,58.4,6.25662651562861,45.23,"P3 - Medium","PASS WITH MONITORING",540
80,"PL-0206","Container","Critical",9,161.29,6.32,100,"Intermediate","Small",100,56.25,100,6.42881627512097,81.89,"P1 - Critical","BLOCK",87
81,"PL-0299","SAST","Critical",6,164.68,4.02,97.63,"Junior","Medium",100,37.5,97.63,6.56393740583372,77.56,"P2 - High","BLOCK",109
82,"PL-0042","Container","Critical",13,173.29,6.47,100,"Senior","Medium",100,81.25,100,6.90712116259975,86.94,"P1 - Critical","BLOCK",44
83,"PL-0042","SCA","Medium",4,173.6,4.19,40.18,"Senior","Small",50,25,40.18,6.91947737219295,38.24,"P4 - Low","PASS WITH MONITORING",719
84,"PL-0248","Container","Medium",4,177.54,6.29,41.35,"Junior","Medium",50,25,41.35,7.07652081024848,38.55,"P4 - Low","PASS WITH MONITORING",712
85,"PL-0251","DAST","Low",4,178.07,5.74,32.02,"Junior","Large",25,25,32.02,7.09764594277879,24.96,"P4 - Low","PASS",857
86,"PL-0157","SCA","Medium",2,182.35,4.08,47.29,"Intermediate","Large",50,12.5,47.29,7.26824135264622,37.55,"P4 - Low","PASS WITH MONITORING",727
87,"PL-0025","SAST","Low",3,187.07,2.75,21.62,"Senior","Medium",25,18.75,21.62,7.45637460838787,21.15,"P4 - Low","PASS",945
88,"PL-0191","SCA","Medium",1,187.16,2.06,51.29,"Senior","Large",50,6.25,51.29,7.45996189504396,37.32,"P4 - Low","PASS WITH MONITORING",728
89,"PL-0032","Container","Critical",6,187.2,5.77,95.88,"Senior","Small",100,37.5,95.88,7.46155624466889,77.22,"P2 - High","BLOCK",110
90,"PL-0238","IaC","High",9,189.75,4.39,93.46,"Intermediate","Small",75,56.25,93.46,7.56319603325813,69.12,"P2 - High","WAIT / PRIORITIZE",176
91,"PL-0014","SAST","Low",1,191.96,3.78,27.5,"Junior","Medium",25,6.25,27.5,7.65128385003547,20.14,"P4 - Low","PASS",963
92,"PL-0111","DAST","Medium",2,196.01,5.49,40.32,"Intermediate","Small",50,12.5,40.32,7.81271174955956,35.86,"P4 - Low","PASS WITH MONITORING",743
93,"PL-0262","SAST","Low",1,198.72,2.43,24.93,"Junior","Medium",25,6.25,24.93,7.92072893664852,19.52,"P4 - Low","PASS",973
94,"PL-0299","SAST","High",8,199.75,5.01,74.24,"Junior","Large",75,50,74.24,7.96178343949045,63.11,"P2 - High","WAIT / PRIORITIZE",282
95,"PL-0208","DAST","High",8,202.02,6.49,86.81,"Senior","Medium",75,50,86.81,8.05226278070518,66.26,"P2 - High","WAIT / PRIORITIZE",228
96,"PL-0246","IaC","Medium",4,204.3,4.76,50.06,"Junior","Small",50,25,50.06,8.14314070932615,40.83,"P3 - Medium","PASS WITH MONITORING",661
97,"PL-0242","SAST","High",5,205.4,5.39,72.49,"Junior","Medium",75,31.25,72.49,8.1869853240117,58.94,"P3 - Medium","WAIT / PRIORITIZE",329
98,"PL-0287","Container","High",7,208.83,5.61,80.16,"Senior","Small",75,43.75,80.16,8.32370080434939,63.37,"P2 - High","WAIT / PRIORITIZE",279
99,"PL-0224","SAST","Medium",6,212.63,5.46,52.66,"Senior","Small",50,37.5,52.66,8.47516401871766,44.01,"P3 - Medium","PASS WITH MONITORING",583
100,"PL-0262","SAST","High",9,214.8,6.04,81.69,"Junior","Small",75,56.25,81.69,8.56165748587008,66.28,"P2 - High","WAIT / PRIORITIZE",226
101,"PL-0214","SAST","High",9,215.75,3.29,95.84,"Senior","Large",75,56.25,95.84,8.59952328946214,69.82,"P2 - High","WAIT / PRIORITIZE",162
102,"PL-0294","Container","Medium",3,216.49,5.91,39.83,"Intermediate","Small",50,18.75,39.83,8.62901875752334,37.07,"P4 - Low","PASS",732
103,"PL-0095","SAST","Low",3,218.61,2.71,29.08,"Junior","Medium",25,18.75,29.08,8.71351928764459,23.14,"P4 - Low","PASS",897
104,"PL-0006","SCA","High",5,218.94,3.82,76.56,"Intermediate","Small",75,31.25,76.56,8.72667267205025,60.01,"P2 - High","WAIT / PRIORITIZE",322
105,"PL-0252","Container","Medium",3,219.18,4.85,47.65,"Intermediate","Medium",50,18.75,47.65,8.73623876979983,39.04,"P4 - Low","PASS WITH MONITORING",703
106,"PL-0271","Container","High",5,219.74,5.4,80.98,"Junior","Small",75,31.25,80.98,8.75855966454884,61.12,"P2 - High","WAIT / PRIORITIZE",311
107,"PL-0034","SAST","Low",1,222.86,4.36,16.02,"Junior","Large",25,6.25,16.02,8.88291893529332,17.39,"P4 - Low","PASS",996
108,"PL-0188","SAST","High",9,230.29,4.74,92.66,"Intermediate","Medium",75,56.25,92.66,9.17906937812393,69.08,"P2 - High","WAIT / PRIORITIZE",178
109,"PL-0254","DAST","Medium",2,231.38,4.56,49.83,"Intermediate","Small",50,12.5,49.83,9.22251540540325,38.38,"P4 - Low","PASS WITH MONITORING",716
110,"PL-0268","SAST","High",5,232.6,5.27,74.41,"Junior","Small",75,31.25,74.41,9.27114306896359,59.53,"P3 - Medium","WAIT / PRIORITIZE",324
111,"PL-0128","Container","High",6,233.99,4.71,96.41,"Junior","Small",75,37.5,96.41,9.32654671842988,66.29,"P2 - High","WAIT / PRIORITIZE",225
112,"PL-0041","IaC","High",5,234.21,5.12,72.25,"Junior","Medium",75,31.25,72.25,9.33531564136699,59,"P3 - Medium","WAIT / PRIORITIZE",328
113,"PL-0193","SAST","High",5,237.21,4.79,74.83,"Intermediate","Small",75,31.25,74.83,9.45489186323669,59.65,"P3 - Medium","WAIT / PRIORITIZE",323
114,"PL-0066","DAST","High",8,239.59,6.97,80.01,"Senior","Large",75,50,80.01,9.54975566591998,64.71,"P2 - High","WAIT / PRIORITIZE",258
115,"PL-0152","SCA","Medium",6,240.05,1.59,38.25,"Senior","Small",50,37.5,38.25,9.56809068660667,40.52,"P3 - Medium","PASS",669
116,"PL-0098","SAST","Medium",5,242.69,2.94,59.37,"Junior","Small",50,31.25,59.37,9.673317761852,44.56,"P3 - Medium","PASS WITH MONITORING",558
117,"PL-0025","Container","Medium",4,243.6,3.96,44.42,"Intermediate","Medium",50,25,44.42,9.70958921581914,39.58,"P4 - Low","PASS WITH MONITORING",687
118,"PL-0107","SAST","Low",3,246.54,2.37,24.2,"Intermediate","Medium",25,18.75,24.2,9.82677391325144,22.03,"P4 - Low","PASS",923
119,"PL-0014","SAST","High",1,249.97,2.33,74.47,"Senior","Medium",75,6.25,74.47,9.96348939358912,54.61,"P3 - Medium","WAIT / PRIORITIZE",356
120,"PL-0162","IaC","High",6,251.22,4.35,79.18,"Intermediate","Small",75,37.5,79.18,10.0133128193682,62.05,"P2 - High","WAIT / PRIORITIZE",296
121,"PL-0124","SAST","Medium",6,252.69,4.37,59.45,"Senior","Large",50,37.5,59.45,10.0719051680843,45.87,"P3 - Medium","PASS WITH MONITORING",519
122,"PL-0194","IaC","High",8,254.34,3.69,87.06,"Junior","Small",75,50,87.06,10.1376720901126,66.53,"P2 - High","WAIT / PRIORITIZE",219
123,"PL-0095","IaC","Medium",8,255.59,5.25,61.19,"Senior","Small",50,50,61.19,10.1874955158917,48.82,"P3 - Medium","PASS WITH MONITORING",444
124,"PL-0032","SAST","Low",2,256.18,3.17,17.88,"Junior","Medium",25,12.5,17.88,10.2110121728594,19.24,"P4 - Low","PASS",979
125,"PL-0185","SCA","Low",1,259.39,2.61,25.35,"Junior","Medium",25,6.25,25.35,10.33895873026,19.87,"P4 - Low","PASS",967
126,"PL-0284","SAST","Low",1,262.49,3.22,8.8,"Senior","Medium",25,6.25,8.8,10.462520826192,15.75,"P4 - Low","PASS",999
127,"PL-0118","DAST","Critical",9,262.62,5.66,96.8,"Intermediate","Small",100,56.25,96.8,10.467702462473,81.5,"P1 - Critical","BLOCK",89
128,"PL-0037","IaC","Medium",8,270.58,6,58.82,"Junior","Medium",50,50,58.82,10.7849780378339,48.28,"P3 - Medium","PASS WITH MONITORING",463
129,"PL-0138","Container","Low",1,272.48,6.26,20.98,"Junior","Small",25,6.25,20.98,10.8607096450181,18.83,"P4 - Low","PASS",985
130,"PL-0261","Container","Medium",1,273.33,3.58,42.23,"Junior","Small",50,6.25,42.23,10.8945895745478,35.4,"P4 - Low","PASS WITH MONITORING",746
131,"PL-0035","DAST","Medium",2,274.39,5.54,57.23,"Intermediate","Medium",50,12.5,57.23,10.9368398396084,40.4,"P3 - Medium","PASS WITH MONITORING",672
132,"PL-0078","Container","Medium",6,282.38,4.13,49.39,"Intermediate","Medium",50,37.5,49.39,11.255311177188,43.47,"P3 - Medium","PASS WITH MONITORING",600
133,"PL-0014","SAST","High",5,283.66,4.58,81.91,"Junior","Small",75,31.25,81.91,11.3063303651858,61.61,"P2 - High","WAIT / PRIORITIZE",300
134,"PL-0156","Container","Medium",5,286.22,5.65,51.8,"Junior","Small",50,31.25,51.8,11.4083687411813,42.84,"P3 - Medium","PASS WITH MONITORING",616
135,"PL-0097","SCA","High",5,287.33,3.14,83.9,"Intermediate","Medium",75,31.25,83.9,11.452611943273,62.12,"P2 - High","WAIT / PRIORITIZE",292
136,"PL-0229","IaC","Medium",4,287.38,2.37,45.42,"Intermediate","Medium",50,25,45.42,11.4546048803042,40,"P3 - Medium","PASS WITH MONITORING",678
137,"PL-0182","SCA","High",5,290.56,2.98,79.01,"Junior","Small",75,31.25,79.01,11.5813556754861,60.91,"P2 - High","WAIT / PRIORITIZE",314
138,"PL-0127","SCA","High",4,291.92,4.36,71.32,"Intermediate","Small",75,25,71.32,11.6355635627337,57.74,"P3 - Medium","WAIT / PRIORITIZE",339
139,"PL-0287","SAST","High",7,295.79,3.05,81.2,"Junior","Small",75,43.75,81.2,11.7898168889456,63.98,"P2 - High","WAIT / PRIORITIZE",268
140,"PL-0043","IaC","High",5,296.47,3.12,68.15,"Senior","Small",75,31.25,68.15,11.8169208325694,58.22,"P3 - Medium","PASS WITH MONITORING",335
141,"PL-0180","SCA","Medium",1,298.54,3.02,49.03,"Senior","Medium",50,6.25,49.03,11.8994284256595,37.2,"P4 - Low","PASS WITH MONITORING",730
142,"PL-0027","SCA","Low",5,300.19,4.44,30.91,"Senior","Medium",25,31.25,30.91,11.9651953476878,26.42,"P4 - Low","PASS",823
143,"PL-0030","SCA","Low",3,304.42,2.74,13.25,"Junior","Medium",25,18.75,13.25,12.1337978205241,19.53,"P4 - Low","PASS",972
144,"PL-0180","Container","High",6,304.75,3.11,65.76,"Intermediate","Small",75,37.5,65.76,12.1469512049297,58.9,"P3 - Medium","PASS WITH MONITORING",330
145,"PL-0212","Container","Medium",2,305.15,7.19,47.77,"Junior","Small",50,12.5,47.77,12.162894701179,38.16,"P4 - Low","PASS WITH MONITORING",720
146,"PL-0075","SAST","Low",1,307.12,2.8,21.61,"Intermediate","Small",25,6.25,21.61,12.2414164202068,19.13,"P4 - Low","PASS",981
147,"PL-0201","SCA","Medium",3,307.73,4.42,41.81,"Senior","Small",50,18.75,41.81,12.265730251987,37.93,"P4 - Low","PASS WITH MONITORING",723
148,"PL-0062","Container","Medium",2,308.52,4.29,37.37,"Intermediate","Small",50,12.5,37.37,12.2972186570793,35.57,"P4 - Low","PASS",745
149,"PL-0269","DAST","High",7,311.08,6.7,86.57,"Junior","Medium",75,43.75,86.57,12.3992570330748,65.38,"P2 - High","WAIT / PRIORITIZE",244
150,"PL-0124","IaC","Medium",3,312.14,3.08,46.36,"Senior","Small",50,18.75,46.36,12.4415072981354,39.08,"P4 - Low","PASS WITH MONITORING",701
151,"PL-0063","DAST","High",8,313.26,6.65,77.96,"Intermediate","Large",75,50,77.96,12.4861490876334,64.49,"P2 - High","WAIT / PRIORITIZE",261
152,"PL-0049","SCA","Low",2,314.84,2.96,29.9,"Intermediate","Medium",25,12.5,29.9,12.5491258978181,22.48,"P4 - Low","PASS",916
153,"PL-0061","SAST","Medium",1,318.28,2.48,56.92,"Junior","Small",50,6.25,56.92,12.686239965562,39.25,"P4 - Low","PASS WITH MONITORING",694
154,"PL-0116","IaC","Low",1,319.31,3.24,18.75,"Intermediate","Medium",25,6.25,18.75,12.727294468404,18.46,"P4 - Low","PASS",989
155,"PL-0257","SAST","Medium",2,322.48,3.77,51.35,"Intermediate","Small",50,12.5,51.35,12.8536466761796,39.12,"P4 - Low","PASS WITH MONITORING",696
156,"PL-0028","IaC","Medium",6,328,4.77,53.92,"Senior","Medium",50,37.5,53.92,13.0736669244199,44.79,"P3 - Medium","PASS WITH MONITORING",551
157,"PL-0002","SAST","Medium",3,328.62,3.34,43.99,"Intermediate","Small",50,18.75,43.99,13.0983793436063,38.56,"P4 - Low","PASS WITH MONITORING",711
158,"PL-0159","DAST","Low",2,339.07,7.32,21.23,"Intermediate","Large",25,12.5,21.23,13.514903183119,20.41,"P4 - Low","PASS",961
159,"PL-0136","SCA","Low",1,339.98,3.47,23.46,"Senior","Medium",25,6.25,23.46,13.5511746370862,19.72,"P4 - Low","PASS",970
160,"PL-0127","SCA","Medium",7,342.78,3.06,68.8,"Intermediate","Small",50,43.75,68.8,13.6627791108312,49.82,"P3 - Medium","PASS WITH MONITORING",421
161,"PL-0208","IaC","Low",2,343.17,2.63,13.36,"Intermediate","Medium",25,12.5,13.36,13.6783240196743,18.46,"P4 - Low","PASS",990
162,"PL-0259","Container","High",8,345.01,6.77,80.13,"Junior","Large",75,50,80.13,13.751664102421,65.16,"P2 - High","WAIT / PRIORITIZE",247
163,"PL-0229","Container","Medium",3,346.57,5.34,47.72,"Junior","Small",50,18.75,47.72,13.8138437377933,39.56,"P4 - Low","PASS WITH MONITORING",689
164,"PL-0269","SCA","Medium",7,352.54,2.7,52.71,"Senior","Small",50,43.75,52.71,14.051800419314,45.83,"P3 - Medium","PASS WITH MONITORING",522
165,"PL-0012","SAST","Medium",9,354.66,3.37,55.39,"Junior","Small",50,56.25,55.39,14.1363009494352,49.01,"P3 - Medium","PASS WITH MONITORING",435
166,"PL-0193","IaC","High",3,358.19,4.29,68.08,"Intermediate","Small",75,18.75,68.08,14.2770023038352,55.95,"P3 - Medium","PASS WITH MONITORING",347
167,"PL-0158","Container","Medium",1,359.05,4.98,25.67,"Intermediate","Medium",50,6.25,25.67,14.3112808207712,31.6,"P4 - Low","PASS",754
168,"PL-0051","SAST","Low",3,359.76,4.81,21.8,"Intermediate","Small",25,18.75,21.8,14.3395805266137,21.88,"P4 - Low","PASS",927
169,"PL-0165","SCA","High",5,369.03,2.64,78.57,"Intermediate","Medium",75,31.25,78.57,14.709071052191,61.11,"P2 - High","WAIT / PRIORITIZE",312
170,"PL-0047","Container","Medium",3,372.65,6.15,45.51,"Junior","Small",50,18.75,45.51,14.8533596932471,39.11,"P4 - Low","PASS WITH MONITORING",697
